currency,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AUD,1.139517172,1.149313491,1.017393998,0.902378871,0.879572797,0.700799351,0.670875651,0.700857565,0.784216442,0.792528112,0.781289797,0.7790979,0.735299284,0.680116413,0.731674124,0.741496187,0.782945437,0.744062837,0.62940068,0.645332247,0.582346532,0.517635943,0.543902648,0.651884045,0.736578578,0.763843802,0.75334984,0.838560795,0.855264574,0.791303713,0.919499092,1.032212708,1.035799755,0.96842634,0.90269528,0.7526124,0.743888756,0.771955602,0.789655036,0.791796204,0.788861628,0.783152088,0.777451106
CAD,0.855250392,0.834120086,0.810615012,0.811430314,0.772142108,0.732361592,0.719696825,0.754177988,0.81258358,0.844626367,0.857091733,0.872819995,0.827353743,0.775172977,0.732277231,0.728653406,0.733433058,0.7222398,0.674122875,0.673006085,0.673378508,0.645700808,0.637252281,0.713818518,0.768619974,0.825295619,0.881590155,0.931012525,0.937171907,0.874813461,0.9707201,1.010580133,1.000812483,0.971065558,0.904073234,0.781801164,0.754489175,0.769638055,0.790646334,0.792156315,0.791417789,0.789644816,0.788117677
DKK,0.177465344,0.14041667,0.120033613,0.109358687,0.096572781,0.094407143,0.123628174,0.146217333,0.148574778,0.136827733,0.161599987,0.156380713,0.165718867,0.154243666,0.157236529,0.178528736,0.172463107,0.151429726,0.149246998,0.143341111,0.12373701,0.120172713,0.126676272,0.151827979,0.166912129,0.166766605,0.168163661,0.183698844,0.196150366,0.186536774,0.177806824,0.186264318,0.172637813,0.178052596,0.178174793,0.148634723,0.148550402,0.151266732,0.157920672,0.157969075,0.157569639,0.156965205,0.15641118
EUR,1.077882204,0.868843086,0.806973023,0.767762198,0.689588619,0.669879209,0.90468713,1.089930533,1.115987461,1.041742364,1.213538639,1.183126978,1.255549395,1.183704212,1.208017309,1.366263798,1.300236202,1.129454168,1.113076805,1.066815021,0.924021489,0.895623552,0.944419248,1.130827718,1.243304031,1.245755065,1.255648595,1.370635795,1.471714538,1.392797568,1.326893948,1.391407707,1.285573514,1.328155783,1.328841557,1.109624957,1.106608355,1.127788302,1.176396602,1.181763704,1.183642918,1.17951761,1.174472193
JPY,0.004410332,0.004535417,0.004016638,0.004210541,0.004210282,0.004193114,0.005935684,0.006915719,0.007804625,0.007249624,0.006907964,0.007433207,0.007896326,0.008994106,0.009785071,0.01063485,0.009193525,0.008266923,0.007642782,0.008748262,0.009278992,0.008230816,0.007975401,0.00862897,0.009243936,0.009073996,0.00859869,0.008492314,0.00967497,0.010687175,0.011392132,0.012530227,0.012532827,0.010246357,0.009438878,0.008261456,0.009191777,0.00897624,0.009164911,0.009251302,0.009239746,0.009259585,0.009288283
NZD,0.97417485,0.869947667,0.751846812,0.668801382,0.578488222,0.498406233,0.523911505,0.592206543,0.655959926,0.598457067,0.596948357,0.579146012,0.538125178,0.540737254,0.593691751,0.656438611,0.687631299,0.663025275,0.536657058,0.529547275,0.457370235,0.420640327,0.464225592,0.58226722,0.664008419,0.704355401,0.649502654,0.736125506,0.714574205,0.63414164,0.721296177,0.791166446,0.810575543,0.820528926,0.830839561,0.700273085,0.696963421,0.722302743,0.736665879,0.738869025,0.739069243,0.738438735,0.737623088
NOK,0.202489011,0.17425359,0.154957027,0.13706225,0.122571996,0.116350731,0.135267643,0.148438435,0.153459502,0.144853133,0.159757821,0.154290603,0.160980355,0.140597546,0.141649475,0.157868561,0.155045816,0.141391927,0.132549055,0.128241877,0.113624637,0.111222465,0.125256621,0.140539746,0.148261401,0.155197665,0.155911673,0.170599878,0.177304926,0.159024702,0.165448819,0.17842472,0.171895135,0.170212697,0.158688257,0.124005512,0.119047726,0.118606067,0.11795433,0.116157731,0.113787546,0.111320305,0.108939779
CHF,0.596763189,0.509260644,0.492634757,0.476420022,0.425648481,0.407176788,0.556087834,0.670756277,0.683497408,0.611410382,0.719968083,0.697523728,0.711414334,0.676842046,0.731272328,0.845923023,0.809151422,0.689140153,0.689813937,0.665732958,0.592212696,0.592668198,0.641678813,0.742731287,0.804217587,0.803193235,0.797602309,0.833133816,0.925566289,0.921177644,0.95885936,1.126074277,1.066457035,1.07886084,1.091523697,1.039089418,1.01498266,1.020639364,1.038411784,1.043487965,1.045613409,1.04534651,1.044373164
GBP,2.32628255,2.027903422,1.750519422,1.516993365,1.336335286,1.296331166,1.467005831,1.638903042,1.781361189,1.639704073,1.784712982,1.769367857,1.765524745,1.502019263,1.531605042,1.578466878,1.561740396,1.637694852,1.656412066,1.618224548,1.516105186,1.439964304,1.501258685,1.634373725,1.831799852,1.820401071,1.842629791,2.001679415,1.853244234,1.564477883,1.546113395,1.603604799,1.585306416,1.564467053,1.647422194,1.528959574,1.35550518,1.278857098,1.285666251,1.275525123,1.263879967,1.25191965,1.240450746
USD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
XDR,,0.849669143,0.90850397,0.936560464,0.977321369,0.986526268,0.85214274,0.773748051,0.745580463,0.780900617,0.737135139,0.732009702,0.710154778,0.716315481,0.698574243,0.65983875,0.68877679,0.726835133,0.736969368,0.731386642,0.758990484,0.783971837,0.773218029,0.713999837,0.675328633,0.677590113,0.679903131,0.653823024,0.635019892,0.649513669,0.655705877,0.633741293,0.653151814,0.658074197,0.658697093,0.714973903,0.719540519,0.722092665,,,,,
